"icao24","callsign","origin_country","time_position","last_contact","long","lat","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"4baa4b","THY1YM  ","Turkey","1648462311","1648462311","30.152","41.8999","6972.3","False","225.35","72.6","2.93","","7139.94","","False","0","1"
"4baa4c","THY5GK  ","Turkey","1648462311","1648462311","29.1299","40.9207","1874.52","False","137.49","264.42","-3.25","","2042.16","0763","False","0","1"
"3c0acb","CFG432  ","Germany","1648462290","1648462291","26.0216","35.4207","10668","False","239.94","143.11","0","","10888.98","2520","False","0","0"
"484ee5","KLM44K  ","Kingdom of the Netherlands","1648462206","1648462208","26.0706","44.5643","15.24","False","77.55","84.29","-3.25","","152.4","1000","False","0","1"
"8963cf","ETD6HZ  ","United Arab Emirates","1648462311","1648462311","25.8755","44.5217","11887.2","False","241.38","126.94","-0.33","","11955.78","5207","False","0","6"
"4baa65","THY3EN  ","Turkey","1648462311","1648462311","29.3875","40.9452","3284.22","False","144.98","263.48","-6.5","","3459.48","5102","False","0","1"
"4baa75","THY2JR  ","Turkey","1648462309","1648462310","30.0305","38.554","10675.62","False","240.34","156.67","0","","10850.88","","False","0","1"
"4baa73","THY1GA  ","Turkey","1648462238","1648462240","28.7577","41.2117","274.32","False","77.7","358.86","-3.9","","441.96","5154","False","0","1"
"896535","ETD36V  ","United Arab Emirates","1648462312","1648462312","28.6932","42.471","11879.58","False","245.98","98.42","-0.33","","11955.78","0422","False","0","0"
"896538","ETD61N  ","United Arab Emirates","1648462308","1648462311","28.7596","41.1073","891.54","False","104.96","359.16","-6.5","","1051.56","1714","False","0","0"
"4a0661","ROT403C ","Romania","1648462311","1648462311","26.139","44.581","365.76","False","74.89","84.88","11.05","","510.54","7365","False","0","1"
"4bb18f","THY94PB ","Turkey","1648462159","1648462297","32.5622","40.1828","6370.32","False","175.88","305.6","15.28","","5448.3","0711","False","0","0"
"4ca892","RYR79XX ","Ireland","1648462311","1648462311","26.9924","39.689","11277.6","False","235.83","136.77","0","","11430","","False","0","1"
"896456","UAE40NA ","United Arab Emirates","1648462311","1648462311","25.3578","44.4877","10972.8","False","240.11","305.49","0","","11064.24","5355","False","0","6"
"4ca88f","RYR9CC  ","Ireland","1648462311","1648462311","26.5254","41.9331","11277.6","False","217.22","152.34","0","","11384.28","6047","False","0","1"
"4baa13","THY3KL  ","Turkey","1648462242","1648462242","33.6623","39.4246","11277.6","False","239.98","120.96","0.65","","11376.66","0751","False","0","1"
"4baa14","THY97W  ","Turkey","1648462311","1648462311","31.4364","41.8435","10058.4","False","230.89","99.23","0","","10187.94","","False","0","1"
"4ca7b7","RYR82GU ","Ireland","1648462311","1648462312","27.2024","36.6548","8709.66","False","206.7","293.31","10.08","","8938.26","","False","0","1"
"01801f","BRQ115  ","Libyan Arab Jamahiriya","1648462311","1648462311","30.4714","35.5893","10972.8","False","227.35","32.43","0","","11148.06","","False","0","1"
"4bb068","THY8FH  ","Turkey","1648462311","1648462311","27.6784","41.8457","8290.56","False","209.63","302.68","9.1","","8473.44","2366","False","0","0"
"4bb065","THY6BN  ","Turkey","1648462310","1648462311","27.7983","40.9394","4046.22","False","149.07","85.84","-7.48","","4229.1","6561","False","0","0"
"8964bd","ETD78G  ","United Arab Emirates","1648462311","1648462311","25.5106","36.4677","11879.58","False","263.32","113.61","0","","12077.7","1252","False","0","6"
"018087","LWA102  ","Libyan Arab Jamahiriya","1648462310","1648462310","29.9653","40.7873","4693.92","False","147.69","358.6","-8.78","","4846.32","","False","0","1"
"018070","AAW974  ","Libyan Arab Jamahiriya","1648462301","1648462301","30.1504","39.4204","10370.82","False","210.28","333.25","0","","10500.36","","False","0","1"
"4b85cb","TRK2    ","Turkey","1648462311","1648462311","29.0974","41.0976","3025.14","False","157.22","76.37","4.55","","3177.54","","False","0","1"
"70605f","KAC101  ","Kuwait","1648462311","1648462311","33.3639","40.4079","10972.8","False","234.94","289.31","0","","11079.48","3261","False","0","6"
"740827","RJA263  ","Jordan","1648462311","1648462311","27.9437","36.4598","10972.8","False","223.82","316.77","-0.33","","11178.54","5674","False","0","6"
"89656c","FDB9YD  ","United Arab Emirates","1648462311","1648462311","28.0612","42.4838","10972.8","False","223.94","291.14","0","","11087.1","2364","False","0","0"
"600852","AHY076  ","Azerbaijan","1648462095","1648462095","31.7622","42.1564","10675.62","False","235.53","74.42","0","","10744.2","","False","0","1"
"896556","FDB9GH  ","United Arab Emirates","1648462311","1648462311","26.3629","42.745","11582.4","False","223.35","284.68","0","","11673.84","2363","False","0","0"
"8964bb","ETD93C  ","United Arab Emirates","1648462311","1648462311","28.7863","42.336","10972.8","False","237.97","301.83","0","","11087.1","3242","False","0","6"
"7335cf","IRM117  ","Islamic Republic of Iran","1648462310","1648462310","30.6345","40.6098","11277.6","False","234.58","100.74","0","","","","False","0","1"
"70612e","JZR301  ","Kuwait","1648462308","1648462311","30.7224","40.8564","7353.3","False","193.85","282.41","-5.53","","7551.42","1425","False","0","0"
"4078f0","EZY17XV ","United Kingdom","1648462311","1648462311","26.8293","37.1545","6286.5","False","182.78","326.71","13.66","","6492.24","","False","0","0"
"7812a3","CHH458  ","China","1648461831","1648462311","34.0526","35.5318","11574.78","False","229.08","355.62","0","","11780.52","5542","False","0","6"
"43c6f3","KAYAK31 ","United Kingdom","1648462311","1648462311","27.4094","44.5484","8229.6","False","168.52","277.19","0.33","","8382","1717","False","0","6"
"40666d","EZY54ZP ","United Kingdom","1648462312","1648462312","27.2711","39.4684","11277.6","False","244.98","129.2","0","","11437.62","2207","False","0","1"
"4bccba","SXS7KA  ","Turkey","1648462310","1648462311","25.1797","44.5417","11277.6","False","216.93","122.41","0","","11353.8","7641","False","0","4"
"406668","EZY25QG ","United Kingdom","1648462311","1648462311","28.5794","38.6167","11277.6","False","251.21","132.68","0","","11452.86","3413","False","0","1"
"407959","EZY24GZ ","United Kingdom","1648462312","1648462312","30.4534","36.4859","11894.82","False","241.43","145.77","0","","12062.46","4725","False","0","0"
"8965b2","FDB4MA  ","United Arab Emirates","1648462310","1648462310","33.6911","41.2624","11582.4","False","225.24","275.24","0","","11650.98","5313","False","0","0"
"4d00f4","LGL9001 ","Luxembourg","1648462206","1648462210","33.9252","41.0775","11277.6","False","231.74","117.93","-0.33","","11353.8","3502","False","0","4"
"89409c","GFA043  ","Bahrain","1648462311","1648462311","31.4401","40.7143","10302.24","False","222.36","284.74","0.33","","10507.98","4452","False","0","0"
"49d3d5","TVS1200 ","Czech Republic","1648462311","1648462311","28.4222","43.1032","10668","False","232.45","129.43","0","","10782.3","1420","False","0","4"
"5140b8","IGT0302 ","Georgia","1648462311","1648462311","29.6221","41.9613","6705.6","False","198.64","76.22","10.08","","6858","","False","0","0"
"4b82ab","EM415   ","Turkey","1648462228","1648462228","28.8006","40.999","-7.62","False","13.39","177.8","-3.9","","175.26","","False","0","8"
"396444","AFR564  ","France","1648462311","1648462311","28.1211","37.3066","12496.8","False","253.5","139.2","0","","12656.82","0265","False","0","1"
"3c70c9","GEC8433 ","Germany","1648462311","1648462311","26.1179","44.6264","10972.8","False","235.86","297.68","0","","11071.86","5357","False","0","0"
"4ba9ec","THY2YH  ","Turkey","1648462311","1648462311","33.3985","40.3233","12192","False","221.52","282.75","0","","12237.72","6201","False","0","1"
"06a374","QTR34F  ","Qatar","1648462311","1648462311","27.825","41.8948","10363.2","False","239.34","290.77","0","","10500.36","3222","False","0","0"
"407797","EZY2083 ","United Kingdom","1648462312","1648462312","29.2355","37.9029","11269.98","False","239.17","145.25","0","","11452.86","2354","False","0","0"
"3964e2","TVF3421 ","France","1648462311","1648462311","26.9461","42.1839","10233.66","False","217.93","292.63","6.5","","10325.1","3204","False","0","1"
"71c083","KAL8909 ","Republic of Korea","1648462312","1648462312","27.2003","44.2195","11574.78","False","238.01","298.39","-0.33","","11650.98","3226","False","0","6"
"010205","MSR759  ","Egypt","1648462295","1648462311","25.2779","39.4109","10972.8","False","231.33","341.73","0","","11132.82","6440","False","0","0"
"06a2e7","QTR99X  ","Qatar","1648462311","1648462311","27.79","43.6508","11574.78","False","236.6","319.94","0","","11658.6","3224","False","0","0"
"4b8dee","CXI198  ","Turkey","1648462312","1648462312","26.0704","38.1033","10668","False","234.42","138.83","0","","10858.5","4140","False","0","0"
"507c59","UZB272  ","Uzbekistan","1648462311","1648462311","28.5633","41.3654","2194.56","False","136.43","220.72","13.98","","2346.96","","False","0","0"
"06a2c6","QTR763  ","Qatar","1648462311","1648462311","26.1625","43.4943","9753.6","False","242.99","301.67","0","","9906","3255","False","0","0"
"4ba8f9","THY72JM ","Turkey","1648462292","1648462299","33.3286","39.3997","11894.82","False","240.9","133.44","-0.33","","11963.4","5106","False","0","1"
"4ba8c8","THY4GP  ","Turkey","1648462260","1648462312","30.0135","39.3675","10523.22","False","236.63","156.56","0.65","","10690.86","","False","0","1"
"406d26","RRR2301 ","United Kingdom","1648462305","1648462305","30.2037","39.6169","12192","False","225.56","337.47","0","","12298.68","","False","0","6"
"4ba950","THY12E  ","Turkey","1648462064","1648462067","28.7084","41.2122","297.18","False","81.3","358.91","-4.23","","480.06","1742","False","0","1"
"4ba948","THY98K  ","Turkey","1648462311","1648462312","26.478","42.5426","10363.2","False","239","298.83","0","","10500.36","1331","False","0","1"
"4ba975","THY4BX  ","Turkey","1648462310","1648462310","29.813","40.6226","5829.3","False","206.23","83.12","4.88","","6019.8","","False","0","0"
"4b8e16","PGT2009 ","Turkey","1648462213","1648462213","29.3425","40.9107","83.82","False","72.7","243.98","-4.88","","243.84","","False","0","1"
"4ba902","THY7EF  ","Turkey","1648462311","1648462311","29.6648","40.1482","7399.02","False","205.86","170.8","10.73","","7574.28","","False","0","1"
"4ba901","THY2TU  ","Turkey","1648462311","1648462311","25.5083","42.7726","10972.8","False","217.22","297.66","0","","11079.48","3215","False","0","1"
"4a0c21","YRCAA   ","Romania","1648462309","1648462309","28.296","44.5272","1524","False","126.02","193.7","-0.33","","1645.92","","False","0","1"
"4ba893","THY6206 ","Turkey","1648462311","1648462311","28.9111","40.8386","6027.42","False","201.35","175.16","9.43","","6210.3","","False","0","1"
"4d22b8","RYR9F   ","Malta","1648462311","1648462311","27.9787","37.4387","11574.78","False","206.41","319.04","0","","11750.04","","False","0","0"
"06a052","QTR61G  ","Qatar","1648462311","1648462312","26.0608","44.4753","11277.6","False","240.49","127.87","0","","11361.42","7650","False","0","1"
"06a04c","QTR35A  ","Qatar","1648462310","1648462311","29.1344","41.4646","11498.58","False","219.13","293.38","-4.88","","11605.26","2340","False","0","1"
"06a074","QTR4H   ","Qatar","1648462310","1648462311","30.85","42.0374","11277.6","False","247.68","105.91","0","","11353.8","3222","False","0","1"
"06a073","QTR007  ","Qatar","1648462311","1648462311","29.1166","41.5161","10972.8","False","237.58","291.73","0","","11079.48","3236","False","0","1"
"4d21d4","CAI7SF  ","Malta","1648462310","1648462311","28.9676","42.4035","11041.38","False","222.95","305.23","4.88","","11140.44","2023","False","0","0"
"06a088","QTR241  ","Qatar","1648462310","1648462311","30.1181","40.7331","2872.74","False","143.59","318.49","-9.1","","3055.62","2632","False","0","4"
"06a07b","QTR96U  ","Qatar","1648462311","1648462311","27.3704","42.0192","10972.8","False","237.49","292.01","0","","11102.34","3245","False","0","1"
"06a099","QTR73R  ","Qatar","1648462311","1648462311","27.1892","42.9391","11582.4","False","220.81","287.21","0","","11681.46","2377","False","0","4"
"06a095","QTR48K  ","Qatar","1648462311","1648462311","27.7777","43.0269","10363.2","False","219.82","309.02","0","","10492.74","5350","False","0","4"
"06a08d","QTR45M  ","Qatar","1648462311","1648462311","28.4257","41.4834","10972.8","False","224.88","303.14","0","","11102.34","2374","False","0","4"
"4d21f0","RYR8TP  ","Malta","1648462078","1648462114","26.0722","44.5757","3017.52","True","71.87","84.25","-3.9","","","4652","False","0","0"
"3c55f4","AHO215D ","Germany","1648462308","1648462311","26.1691","39.0708","7620","False","244.16","51.42","-0.65","","7871.46","2045","False","0","0"
"4ba674","TRK1    ","Turkey","1648462310","1648462310","29.7903","40.9703","5951.22","False","237.19","101.38","9.43","","6134.1","","False","0","1"
"4bb848","PGT4130 ","Turkey","1648462311","1648462311","29.2202","40.8669","990.6","False","114.59","244.47","8.78","","1150.62","","False","0","4"
